context,question,answer,source_url,category,title,org
各县（市、区）人民政府，广安经开区、枣山园区、协兴园区、华蓥山景区、川渝高竹新区管委会，市直各部门：《广安市招商引资政策二十条（试行）》已经六届市政府第10次常务会议审议通过，现印发给你们，请遵照执行。广安市人民政府2022年4月29日广安市招商引资政策二十条（试行）为坚定落实同城融圈、优镇兴乡、品质主导、产业支撑“四大战略”部署，提升招商引资质量和水平，促进重点产业项目落地做强和产业成链集群，构建高能级现代产业体系，加快建成成渝地区世界级先进制造业集群配套基地，推进高质量发展，根据相关规定，结合我市实际，制定以下政策措施,"《广安市招商引资政策二十条（试行）》由谁审议通过？
",《广安市招商引资政策二十条（试行）》是由六届市政府第10次常务会议审议通过的。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。（四）本政策自2022年6月1日施行，有效期为2年。相关附件：招商引资政策20条解读.mp3(/gasrmzfw/c104243/1733372894987161600/4yrPtnlQ.mp3)二维码开始扫一扫在手机打开当前页用来校验该浏览器是否支持HTML5,"本政策的有效期是多久？
",本政策的有效期为2年。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。一、适用范围新引进外来广安投资，符合我市产业发展规划，且工商注册和税收解缴关系在广安的企业（不含建筑、房地产企业）。二、支持政策（一）财政金融支持政策。1.项目投资补贴。引进项目竣工投产后且达到协议约定条件，按不超过实际投资额的一定比例给予补贴。2.转型升级补贴。对符合条件的传统产业数字化、智能化技术改造项目，以及符合国家绿色化技术改造要求的项目，按不超过固定资产投资额度5%的比例，给予最高1000万元奖补。对引进落户后成功申报为省级新经济示范企业实施的“四新经济（新技术、新产业、新业态、新模式）”项目，按不超过项目新增设备、软件投资额度5%的比例，给予最高500万元奖补。3.科技创新支持,"广安对新引进的外来投资企业提供哪些支持政策？
",广安对新引进的外来投资企业提供的支持政策包括：项目投资补贴、转型升级补贴和科技创新支持。其中，项目投资补贴是按不超过实际投资额的一定比例给予补贴；转型升级补贴是对符合条件的传统产业数字化、智能化技术改造项目，以及符合国家绿色化技术改造要求的项目，按不超过固定资产投资额度5%的比例，给予最高1000万元奖补；科技创新支持具体政策未详细说明。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。14.标准厂房支持。鼓励工业项目集约节约用地，建设多层标准厂房，提高容积率，不再增收土地出让金，且从第二层起按厂房建筑面积每平方米100元的标准给予一次性补助，最高不超过500万元。鼓励企业入驻园区租赁工业标准厂房，给予前3年每年100%、后2年每年50%的租金补助。（三）税费支持政策。15.税费扣除。对企业从县级及以上各级政府财政部门及其他部门取得的应计入收入总额的财政性资金，符合税法规定条件的，可以作为不征税收入。对企业发生的公益性捐赠支出，在年度利润总额12%以内的部分，准予在计算应纳税所得额时扣除；超过年度利润总额12%的部分，准予结转以后3年内在计算应纳税所得额时扣除,"工业项目集约节约用地支持政策的具体内容是什么？
",鼓励工业项目集约节约用地，建设多层标准厂房，提高容积率，不再增收土地出让金，且从第二层起按厂房建筑面积每平方米100元的标准给予一次性补助，最高不超过500万元。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。没有合法政策依据的，取消收费。其他收取费用，鼓励按照省、市核定的最低标准执行。项目供水、供电、供气管线主接口等按规划由供应主体接通到企业用地红线处。18.节能能耗、环境容量指标保障。全市范围统筹节能能耗指标和环境容量指标，优先保障重点项目需要。19.人才保障。对重点项目引进的高层次人才，按相关规定给予人才政策保障。支持产教融合示范项目建设，按有关规定给予补助。对重点项目开展专场招聘、专业培训，各地结合实际给予补贴。根据企业用工需求做好人力资源招募服务工作，免费为引进企业员工提供人事档案管理及人事代理服务。对企业开展用工岗前就业技能培训和转岗培训按规定予以补贴。20.政务服务保障,"什么情况下会取消收费？
",没有合法政策依据的情况下会取消收费。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。对符合财政金融互动政策的金融机构予以支持。对以广安注册企业为主体上市的企业，首次成功在国内主板上市融资的，最高补助1000万元；首次成功在科创板、创业板、北交所上市融资的，最高补助500万元；首次成功在新三板挂牌的，最高补助100万元，进入创新层的最高再补助200万元；通过并购重组等方式成为市外上市公司第一大股东实现财务并表，且将上市公司注册地、纳税地迁到广安经营满1周年的，最高补助300万元。（二）土地支持政策。10.用地指标支持。市级每年统筹一定新增建设用地计划指标，优先保障项目落地建设快、经济社会效益好、土地利用效率高的市级重点项目需要。省级及以上项目积极争取省级计划指标予以用地保障,"对符合财政金融互动政策的金融机构予以怎样的支持？
",对符合财政金融互动政策的金融机构予以支持。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。7.社会引资人奖励。鼓励社会力量参与招商引资，对成功引进重大产业项目来广安投资建设的社会组织、中介机构、商会或个人（不含党政机关、事业单位、人民团体、国有企业及其他财政供养人员），在项目按期建成投产并达到约定经济贡献的，可按照招商引资协议的约定进行奖励。8.落地奖补。对推动市级及以上重大项目招引和落地建设成效显著的县（市、区）政府、园区管委会，由市政府根据年度招商引资考核结果，在市级财政预算的招商资金中给予奖补。9.金融扶持。运用小平故里工业发展股权投资引导基金工具，支持重点产业项目招引和建设。鼓励金融机构和融资性担保公司为重点产业项目创新金融产品和服务，提供贷款支持和融资担保,"广安对于成功引进重大产业项目的社会力量提供什么样的奖励？
",广安对于成功引进重大产业项目的社会组织、中介机构、商会或个人，在项目按期建成投产并达到约定经济贡献的，可按照招商引资协议的约定进行奖励。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。（二）符合本政策规定的项目，按照省、市和行业部门政策就高不重复的原则进行奖补。本政策实施过程中，如国、省出台新规定，按新规定执行。各地可根据自身产业发展实际，制定具体实施细则，规定奖补政策申报、审核、奖励等具体操作程序，并参照本政策制定出台本地促进重点产业项目招商引资的扶持政策。（三）本政策奖补资金按照“谁受益、谁负担”原则，实行市、县（市、区）、园区财政分级承担；涉及市级奖补资金的，由市经济合作工作领导小组办公室考核并提出具体奖补方案，按程序送审、奖补兑现；县级奖补资金申报由各县（市、区）、园区自行组织。（四）本政策自2022年6月1日施行，有效期为2年,"本政策奖补资金实行什么原则分级承担？
",本政策奖补资金按照“谁受益、谁负担”原则，实行市、县（市、区）、园区财政分级承担。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。对外来资本与政府共同投资建设的，可使用划拨土地的医疗、养老、教育、文化、体育等公共服务项目，可以国有建设用地作价出资或入股方式供应土地。13.存量工业土地及房产支持。在符合详细规划、不改变用途的前提下，支持企业在现有工业用地上新建、扩建生产性用房，对符合条件的标准厂房和工业大厦，可按幢、层等为基本单元进行不动产首次登记。在符合国土空间规划、合法合规并经县级及以上政府批准后，工业用地使用权人可以引进市外投资按批准的用途对土地进行再开发，涉及原划拨土地使用权转让需补办出让手续的，可按规定方式办理，并按照市场价缴纳土地出让价款。14.标准厂房支持,"工业土地及房产支持的条件是什么？
",工业土地及房产支持的条件是在符合详细规划、不改变用途的前提下，支持企业在现有工业用地上新建、扩建生产性用房，对符合条件的标准厂房和工业大厦，可按幢、层等为基本单元进行不动产首次登记。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
。5.物流补贴。招引项目（绿色化工产业项目除外）自投产年度起5年内，平均年度经济贡献达到1000万元以上的，可按照年货物物流运输费用总额的5%给予企业补贴，每年补贴额度不超过100万元。6.外商投资奖励。对在我市新注册设立的外资企业和现有外商投资企业增资扩股、扩大生产规模，外商直接投资（FDI）到位资金在500万美元及以上1000万美元以下的，最高奖励20万元；外商直接投资（FDI）到位资金在1000万美元及以上2000万美元以下的，最高奖励50万元；外商直接投资（FDI）到位资金在2000万美元及以上的，最高奖励100万元。7.社会引资人奖励,"对于绿色化工产业项目，物流补贴的优惠条件是什么？
",对于绿色化工产业项目，在其投产年度起5年内，如果平均年度经济贡献达到1000万元以上，可以按照年货物物流运输费用总额的5%获得企业补贴，每年补贴额度不超过100万元。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733372894987161600.html,商贸、海关、旅游,广安市人民政府关于印发《广安市招商引资政策二十条（试行）》的通知,广安市人民政府办公室
